Wall_Position,Surface_Gap,Ux,Uy,Uz,Ox,Oy,Oz
1.00,0.00,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.95,0.05,0.0316093295,0.0000000862,0.0000000172,0.0000000150,0.0000001899,0.0071360972
0.90,0.10,0.0012165364,0.0000000013,0.0000000001,-0.0000000000,0.0000000002,-0.0005110875
0.85,0.15,-0.0081918546,-0.0000000280,-0.0000000007,0.0000000001,0.0000000008,-0.0027902057
0.80,0.20,0.0038035021,0.0000000004,-0.0000000000,-0.0000000006,0.0000000003,-0.0002741502
0.75,0.25,0.0043031542,0.0000000003,0.0000000006,-0.0000000004,0.0000000000,-0.0000974486
0.70,0.30,0.0052140442,0.0000000001,-0.0000000001,-0.0000000006,-0.0000000001,0.0035120972
0.65,0.35,0.0038086261,0.0000000001,-0.0000000000,-0.0000000000,-0.0000000031,-0.0004166824
0.60,0.40,0.0015642493,-0.0000000000,-0.0000000001,0.0000000001,-0.0000000000,0.0000669799
0.55,0.45,0.0020911990,-0.0000000003,0.0000000001,-0.0000000003,0.0000000014,-0.0163433933
0.50,0.50,0.0004738442,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000814768
0.45,0.55,0.0009606246,-0.0000000000,-0.0000000000,-0.0000000000,-0.0000000000,0.0000358951
0.40,0.60,0.0119721014,-0.0000000000,0.0000000000,0.0000000000,-0.0000000000,0.0002438235
0.35,0.65,0.0168914351,-0.0000000000,-0.0000000000,0.0000000000,-0.0000000000,0.0004047759
0.30,0.70,0.0197222960,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0005587297
0.25,0.75,0.0218468819,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0006619744
0.20,0.80,0.0235748570,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0007386507
0.15,0.85,0.0250384248,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0008002089
0.10,0.90,0.0263088983,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0008512154
0.05,0.95,0.0274303907,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0008939537
-0.00,1.00,0.0284326495,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0009298392
-0.05,1.05,0.0293369353,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0009598793
